Timestamp | Model Name | Input Tokens | Output Tokens | Total Tokens | Elapsed Time (s) | Estimated Cost
2025/05/13 16:53:18 | gemini-2.5-pro-preview-05-06 | 6595 | 121 | 6716 | 33.54 | $0.00000
2025/05/13 16:55:20 | gemini-2.5-pro-preview-05-06 | 17884 | 6244 | 24128 | 120.09 | $0.00000
2025/05/13 16:56:04 | gemini-2.5-pro-preview-05-06 | 376 | 193 | 569 | 43.50 | $0.00000
2025/05/13 16:58:55 | gemini-2.5-pro-preview-05-06 | 6881 | 121 | 7002 | 5.61 | $0.00000
2025/05/13 16:59:50 | gemini-2.5-pro-preview-05-06 | 20930 | 2876 | 23806 | 53.27 | $0.00000
2025/05/13 17:02:49 | gemini-2.5-pro-preview-05-06 | 651 | 148 | 799 | 53.84 | $0.00000
2025/05/13 17:04:37 | gemini-2.5-pro-preview-05-06 | 7059 | 164 | 7223 | 19.00 | $0.00000
2025/05/13 17:04:44 | gemini-2.5-pro-preview-05-06 | 23752 | 247 | 23999 | 5.81 | $0.00000
2025/05/13 17:05:07 | gemini-2.5-pro-preview-05-06 | 7484 | 84 | 7568 | 21.94 | $0.00000
2025/05/13 17:07:06 | gemini-2.5-pro-preview-05-06 | 8024 | 230 | 8254 | 38.39 | $0.00000
2025/05/13 17:09:02 | gemini-2.5-pro-preview-05-06 | 8155 | 145 | 8300 | 3.54 | $0.00000
2025/05/13 17:09:34 | gemini-2.5-pro-preview-05-06 | 25091 | 957 | 26048 | 31.57 | $0.00000
2025/05/13 17:11:49 | gemini-2.5-pro-preview-05-06 | 12793 | 308 | 13101 | 22.34 | $0.00000
2025/05/15 13:30:58 | gpt-4o | 10949 | 73 | 11022 | 6.06 | $0.00000
2025/05/15 13:31:10 | gpt-4o | 30467 | 70 | 30537 | 10.76 | $0.00000
2025/05/16 10:13:04 | gpt-4o | 19950 | 276 | 20226 | 16.17 | $0.00000
2025/05/16 10:13:10 | gpt-4o | 401 | 59 | 460 | 2.02 | $0.00000
2025/05/16 10:13:13 | gpt-4o | 758 | 17 | 775 | 1.54 | $0.00000
2025/05/16 10:13:22 | gpt-4o | 724 | 452 | 1176 | 7.12 | $0.00000
2025/05/16 10:17:02 | gpt-4o | 20119 | 87 | 20206 | 10.73 | $0.00000
2025/05/16 10:17:26 | gpt-4o | 20716 | 1465 | 22181 | 23.53 | $0.00000
